Episode,Total Reward,Steps,Epsilon
1,-10083.657525219764,3000,0.7746342738017563
2,-13087.829579023588,3000,0.6667313979426415
3,-10517.670429571494,3000,0.5738588802956988
4,-10515.864039814971,3000,0.49392306333616615
5,-11276.541651140267,2505,0.4357752511673022
6,14672.729099043265,3000,0.3750738280319576
7,16689.479692620327,2978,0.32318313976610125
8,-443.93642501372835,1297,0.30288934397876927
9,-11049.420567900177,3000,0.26069829668364847
10,-10548.206743419489,2316,0.23219113545393674
11,-13943.711055761096,2376,0.20618172128610973
12,-14596.332355735402,2083,0.18578782898994162
13,-9061.73514303437,1281,0.17426092012191546
14,31036.23697999506,3000,0.14998720145629543
15,-21344.973504256704,3000,0.1290946965329504
16,-24080.207230876516,3000,0.11111241833384465
17,-16696.728873226715,3000,0.09563498609599423
18,-1511.154229944753,1005,0.09094795866837797
19,-6604.807605836896,1510,0.08433403942067551
20,-3614.753250484717,751,0.0812259383381516
21,-5899.9303965712725,1148,0.07669474549361349
22,-5430.387046466653,1190,0.07226440694685048
23,-5127.349843975483,1123,0.06831848043975208
24,134.57229109908172,448,0.0668051215428918
25,-2211.9105790065264,888,0.06390378784782655
26,-1852.382211390537,823,0.06132745418003427
27,-1552.159200053162,751,0.05906725262874148
28,-1147.519810846705,752,0.05688750548570321
29,-430.90620815478474,548,0.05534991064281129
30,-6250.888997725389,1784,0.05062638153711289
31,-11595.338801567794,2560,0.04454365032463477
32,-12141.69980854095,3000,0.038338931357447766
33,-2306.8424430191208,1184,0.036135088879938465
34,-1671.7817756802222,758,0.034791163664941394
35,-2183.479255943782,789,0.03344533953571583
36,185.03901391067924,461,0.0326832225480502
37,459.7271021575459,506,0.03186668930479842
38,-4501.174567540367,1925,0.028942434368981022
39,3870.40439732834,956,0.027591496858564064
40,-6609.631438642799,1899,0.025092155479470794
41,-2092.4163291465393,1105,0.023743383098777656
42,245.06535880056305,598,0.02304394713482899
43,985.3123528112592,446,0.02253574195701764
44,-8461.122065631873,2257,0.020130775407561346
45,413.69063549630255,398,0.019734122843670897
46,393.3993069666617,394,0.019349155379307138
47,394.10052803672966,395,0.01897074916212672
48,27.090867902965215,495,0.01850697441302081
49,-1441.527459740638,852,0.01773511533244116
50,-1434.99936746101,888,0.01696488265399529
51,1240.020526957185,469,0.016571674707769473
52,-1552.0937725724016,927,0.01582108804000048
53,1064.943812926858,455,0.01546521281998725
54,1160.8262648320413,490,0.015090909684881781
55,-4614.910765624533,1513,0.013991369337244893
56,-10515.954290420843,2595,0.012288789447536561
57,-3726.50436002953,1257,0.011540191419772038
58,1452.1116624706517,393,0.011315634541407467
59,-4640.669133621297,1742,0.010371723195020508
60,-4927.802523163375,1728,0.009513206770241882
61,-6416.863777522025,2146,0.008545273618496892
62,-4202.807691388319,1647,0.00786974986150288
63,-109.90252373800168,762,0.007575545224171745
64,-3408.5236414931655,1347,0.0070821224353665784
65,-902.2138666392906,883,0.006776241098779807
66,-3175.65402762877,1360,0.006330763455353665
67,-1187.7769755466684,889,0.006055516814196988
68,-1309.0559818383795,853,0.005802672924068538
69,-1239.4140555386905,888,0.005550663945007924
70,-1582.0048039112526,1031,0.005271770485003287
71,1515.058737037775,362,0.005177207452275452
72,1644.4444672407487,360,0.005084849127801061
73,-1331.4423454417904,882,0.004865474559314569
74,-497.6090494230641,781,0.00467913507676303
75,732.3792261191409,503,0.004562919461369303
76,-1180.2161057038873,837,0.004375897340316893
77,881.2153352264729,486,0.004270842000509474
78,-11989.524668930853,2507,0.0037676741086487635
79,423.4693176270707,616,0.003653395809097705
80,-4414.317189015665,1697,0.0033561852019772984
81,-6441.726220599456,1720,0.003079609558852454
82,-1360.081549953552,923,0.0029407118225393916
83,-601.9931583303901,796,0.0028259671882381624
84,-8516.748338496756,2119,0.0025418649011616644
85,757.1439504623612,511,0.002477741317007191
86,562.6007076875105,416,0.0024267353237516403
87,351.2399114319634,585,0.002356779655941443
88,1075.0152650442926,445,0.002304919100307352
89,1034.4938410816653,458,0.002252734937488138
90,994.1542017592319,461,0.00220140199877678
91,856.2037321310326,478,0.00214941095899966
92,819.9419177193681,485,0.0020979133875354845
93,742.5431371205391,497,0.0020464213904364047
94,-291.6719361561011,643,0.001981673719929462
95,-1006.8817696678686,847,0.0018995000917371141
96,-3220.439737883381,1292,0.001780668983079492
97,-616.0507262449272,826,0.0017086235320560074
98,-866.3525219429507,861,0.001636626347762965
99,-864.8707594171211,858,0.0015678981203192238
100,-802.9878871007703,860,0.0015019058533149998
101,-4125.9924415959385,1334,0.001404994239728134
102,-2905.4673635908302,1307,0.0013161115176061684
103,-136.84817906343267,792,0.001265010698052505
104,-372.3240745719006,836,0.0012132218829709876
105,-12.85327477205621,744,0.0011689180811582302
106,-182.1249727063969,806,0.0011227461416954668
107,-2001.8796133161927,1217,0.00105646251301096
108,-272.30226270206003,803,0.0010148847623510108
109,-4720.569809378233,1754,0.001
110,-373.3097650697695,855,0.001
111,443.9226177220193,627,0.001
112,-2717.7146031403463,1159,0.001
113,-245.42427261006867,844,0.001
114,1012.1340856765355,493,0.001
115,1670.9699844443385,397,0.001
116,1619.5384958756783,385,0.001
117,-12325.473944185627,2941,0.001
118,-1362.9911570044706,967,0.001
119,-2310.5569313840824,1012,0.001
120,-4253.801928056043,1456,0.001
121,-8980.947119309125,1488,0.001
122,-7740.775006792713,1823,0.001
123,-230.96683889957248,838,0.001
124,1122.1814549301748,471,0.001
125,297.74915150828673,672,0.001
126,-2082.420541289273,1079,0.001
127,-148.4479210828001,771,0.001
128,-1895.7080838270904,1027,0.001
129,-4962.234892618188,1620,0.001
130,331.2493472439934,649,0.001
131,903.2742992993833,520,0.001
132,-3639.872515527815,1677,0.001
133,-1820.0254549960582,1130,0.001
134,989.9802291847224,473,0.001
135,-623.040764407603,772,0.001
136,1001.9567369285827,470,0.001
137,755.1960511426767,515,0.001
138,768.5970397198828,508,0.001
139,-945.9581781385722,846,0.001
140,-912.5727711119977,863,0.001
141,-687.6838150733124,834,0.001
142,-1330.98679230603,888,0.001
143,-545.4746597147414,736,0.001
144,1344.9046634754866,401,0.001
145,-1695.4453667673552,1268,0.001
146,-3738.7458803153363,1216,0.001
147,-3898.165082832468,1337,0.001
148,-3027.0814044722797,1248,0.001
149,-705.7114934977934,757,0.001
150,-831.4395677401142,839,0.001
151,-1116.9602771140571,861,0.001
152,-987.8443440263071,867,0.001
153,-1697.1268117372836,936,0.001
154,-1024.1841612255791,881,0.001
155,-2887.2776339523275,1274,0.001
156,-1979.0956774534118,1130,0.001
157,-373.33916200465933,897,0.001
158,-909.5905035960932,868,0.001
159,1546.887327622832,359,0.001
160,669.2957938667446,498,0.001
161,835.379122689564,474,0.001
162,-545.5893060829892,673,0.001
163,-549.5760725884559,785,0.001
164,1465.6809076036536,375,0.001
165,-947.6162990094111,853,0.001
166,344.78253733428267,608,0.001
167,-753.6361451670371,765,0.001
168,123.72017341275534,679,0.001
169,-3198.550172730625,1217,0.001
170,-1435.0837498568615,925,0.001
171,50.30319998880037,635,0.001
172,-727.8145103998268,794,0.001
173,-496.68448624860656,732,0.001
174,1185.6744742844635,471,0.001
175,1379.960390718125,804,0.001
176,-2934.0952629774647,1658,0.001
177,-2221.446346792297,1260,0.001
178,-2963.047105198973,1442,0.001
179,-8388.374589405144,3000,0.001
180,-2563.364211736116,1146,0.001
181,-614.4781687101313,828,0.001
182,-2571.6044000793595,1310,0.001
183,-697.4909451674841,880,0.001
184,395.6433039035522,682,0.001
185,-4403.173932246578,1709,0.001
186,-4241.883733354467,1692,0.001
187,-4163.2625428592755,1659,0.001
188,-6534.206097036045,2123,0.001
189,-50.85480090740402,818,0.001
190,-424.73368997575085,879,0.001
191,-5445.644467541425,1701,0.001
192,182.69812364067542,732,0.001
193,-255.0641157613649,871,0.001
194,-5431.980549555011,2121,0.001
195,-3593.9193979994207,1706,0.001
196,-489.7472924217892,876,0.001
197,-5637.369585942588,1762,0.001
198,-434.5456764563943,835,0.001
199,143.42179873729378,684,0.001
200,-7193.456188652413,2069,0.001
201,445.2956834409539,623,0.001
202,-1.9556743116224595,793,0.001
203,2771.0345058209637,744,0.001
204,293.1722169678193,661,0.001
205,-4397.856958277119,1484,0.001
